File Time Hit_Miss  Response_Time/ns
2020110916:37:13.html 02:06:04 HIT 140507287
2020110916:37:18.html 02:06:04 MISS 131273802
2020110916:37:18.html 02:06:04 HIT 120032564
2020110916:37:23.html 02:06:05 MISS 168937398
2020110916:37:23.html 02:06:05 HIT 148211894
2020110916:37:28.html 02:06:05 MISS 162872711
2020110916:37:28.html 02:06:05 HIT 117538671
2020110916:37:33.html 02:06:05 MISS 125029469
2020110916:37:33.html 02:06:05 HIT 242992955
2020110916:37:38.html 02:06:06 MISS 132929187
2020110916:37:38.html 02:06:06 HIT 112962259
2020110916:37:43.html 02:06:06 MISS 175345714
2020110916:37:43.html 02:06:06 HIT 129158101
2020110916:37:48.html 02:06:06 MISS 137817806
2020110916:37:48.html 02:06:06 HIT 129237750
2020110916:37:53.html 02:06:07 MISS 293903315
2020110916:37:53.html 02:06:07 HIT 122111615
2020110916:37:58.html 02:06:07 MISS 186884684
2020110916:37:58.html 02:06:07 HIT 140571883
2020110916:38:03.html 02:06:07 MISS 165063181
2020110916:38:03.html 02:06:07 HIT 123612887
2020110916:38:08.html 02:06:07 MISS 119600510
2020110916:38:08.html 02:06:08 HIT 149536454
2020110916:38:13.html 02:06:08 MISS 157119577
2020110916:38:13.html 02:06:08 HIT 186415212
2020110916:38:18.html 02:06:08 MISS 274092222
2020110916:38:18.html 02:06:08 HIT 114748258
2020110916:38:23.html 02:06:08 MISS 134164175
2020110916:38:23.html 02:06:09 HIT 125845953
2020110916:38:28.html 02:06:09 MISS 181640043
2020110916:38:28.html 02:06:09 HIT 133999993
2020110916:38:33.html 02:06:09 MISS 179102789
2020110916:38:33.html 02:06:09 HIT 126330622
2020110916:38:38.html 02:06:09 MISS 124054768
2020110916:38:38.html 02:06:10 MISS 162797462
2020110913:47:15.html 02:06:10 MISS 188221434
2020110913:47:15.html 02:06:10 HIT 168448975
2020110913:47:20.html 02:06:10 MISS 143979505
2020110913:47:20.html 02:06:10 HIT 122118622
2020110913:47:25.html 02:06:10 MISS 142290028
2020110913:47:25.html 02:06:10 HIT 129647597
2020110913:47:30.html 02:06:11 MISS 152798874
2020110913:47:30.html 02:06:11 HIT 195470212
2020110913:47:35.html 02:06:11 MISS 143073460
2020110913:47:35.html 02:06:11 HIT 131082286
2020110913:47:40.html 02:06:11 MISS 219366215
2020110913:47:40.html 02:06:11 HIT 132264043
2020110913:47:45.html 02:06:12 MISS 129311566
2020110913:47:45.html 02:06:12 MISS 180355499
2020110913:47:50.html 02:06:12 MISS 148259527
2020110913:47:50.html 02:06:12 HIT 113132707
2020110913:47:55.html 02:06:12 MISS 321402615
2020110913:47:55.html 02:06:12 HIT 121313863
2020110913:48:00.html 02:06:13 MISS 132563411
2020110913:48:00.html 02:06:13 HIT 149258853
2020110913:48:05.html 02:06:13 MISS 148467997
2020110913:48:05.html 02:06:13 HIT 130663808
2020110913:48:10.html 02:06:13 MISS 132961654
2020110913:48:10.html 02:06:13 HIT 164367951
2020110913:48:15.html 02:06:14 MISS 162621419
2020110913:48:15.html 02:06:14 HIT 139108148
2020110913:48:20.html 02:06:14 MISS 266238699
2020110913:48:20.html 02:06:14 HIT 107094265
2020110913:48:25.html 02:06:14 MISS 135526017
2020110913:48:25.html 02:06:14 HIT 116346670
2020110913:48:30.html 02:06:14 MISS 128580851
2020110913:48:30.html 02:06:15 HIT 134575758
2020110913:48:35.html 02:06:15 MISS 246332763
2020110913:48:35.html 02:06:15 HIT 122782064
2020110913:48:40.html 02:06:15 MISS 149489049
2020110913:48:40.html 02:06:15 HIT 121554091
2020110913:48:45.html 02:06:15 MISS 130085782
2020110913:48:45.html 02:06:16 HIT 118068625
2020110913:48:50.html 02:06:16 MISS 223679159
2020110913:48:50.html 02:06:16 HIT 160455161
2020110913:48:55.html 02:06:16 MISS 129700209
2020110913:48:55.html 02:06:16 HIT 136270187
2020110913:49:00.html 02:06:16 MISS 197524228
2020110913:49:00.html 02:06:17 HIT 152426296
2020110913:49:05.html 02:06:17 MISS 136517680
2020110913:49:05.html 02:06:17 HIT 169148472
2020110913:49:10.html 02:06:17 MISS 130368685
2020110913:49:10.html 02:06:17 HIT 125720731
2020110913:49:15.html 02:06:17 MISS 166367838
2020110913:49:15.html 02:06:17 HIT 115969178
2020110913:49:20.html 02:06:18 MISS 148538000
2020110913:49:20.html 02:06:18 HIT 157120336
2020110913:49:25.html 02:06:18 MISS 141634928
2020110913:49:25.html 02:06:18 HIT 169979403
2020110913:49:30.html 02:06:18 MISS 143870577
2020110913:49:30.html 02:06:18 HIT 159138286
2020110913:49:35.html 02:06:19 MISS 240227328
2020110913:49:35.html 02:06:19 HIT 159521945
2020110913:49:40.html 02:06:19 MISS 176099801
2020110913:49:40.html 02:06:19 HIT 125811852
2020110913:49:45.html 02:06:19 MISS 166873871
2020110913:49:45.html 02:06:19 HIT 146589847
2020110913:49:50.html 02:06:20 MISS 145260615
2020110913:49:50.html 02:06:20 HIT 115693004
2020110913:49:55.html 02:06:20 MISS 231048882
2020110913:49:55.html 02:06:20 HIT 135651001
2020110913:50:00.html 02:06:20 MISS 276398366
2020110913:50:00.html 02:06:20 HIT 139494444
2020110913:50:05.html 02:06:21 MISS 218653233
2020110913:50:05.html 02:06:21 HIT 150383640
2020110913:50:10.html 02:06:21 MISS 198063189
2020110913:50:10.html 02:06:21 HIT 118314248
2020110913:50:15.html 02:06:21 MISS 222375956
2020110913:50:15.html 02:06:22 HIT 134993577
2020110913:50:20.html 02:06:22 MISS 128363044
2020110913:50:20.html 02:06:22 HIT 181490819
2020110913:50:25.html 02:06:22 MISS 137943824
2020110913:50:25.html 02:06:22 HIT 134161707
2020110913:50:30.html 02:06:22 MISS 194670917
2020110913:50:30.html 02:06:22 HIT 110891579
2020110913:50:35.html 02:06:23 MISS 134522167
2020110913:50:35.html 02:06:23 HIT 115178683
2020110913:50:40.html 02:06:23 MISS 274880115
2020110913:50:40.html 02:06:23 HIT 134179707
2020110913:50:45.html 02:06:23 MISS 178071436
2020110913:50:45.html 02:06:23 HIT 129136352
2020110913:50:50.html 02:06:24 MISS 143948125
2020110913:50:50.html 02:06:24 HIT 125066914
2020110913:50:55.html 02:06:24 MISS 144966486
2020110913:50:55.html 02:06:24 HIT 137629159
2020110913:51:00.html 02:06:24 MISS 142143272
2020110913:51:00.html 02:06:24 HIT 177503650
2020110913:51:05.html 02:06:24 MISS 157712290
2020110913:51:05.html 02:06:25 HIT 152631305
2020110913:51:10.html 02:06:25 MISS 162368483
2020110913:51:10.html 02:06:25 HIT 140128264
2020110913:51:15.html 02:06:25 MISS 131843086
2020110913:51:15.html 02:06:25 HIT 173600662
2020110913:51:20.html 02:06:25 MISS 194979891
2020110913:51:20.html 02:06:26 HIT 126431028
2020110913:51:25.html 02:06:26 MISS 198008844
2020110913:51:25.html 02:06:26 HIT 129979828
2020110913:51:30.html 02:06:26 MISS 125314518
2020110913:51:30.html 02:06:26 HIT 118980161
2020110913:51:35.html 02:06:26 MISS 207789458
2020110913:51:35.html 02:06:27 HIT 118653766
2020110913:51:40.html 02:06:27 MISS 220669380
2020110913:51:40.html 02:06:27 HIT 120593900
2020110913:51:45.html 02:06:27 MISS 168143764
2020110913:51:45.html 02:06:27 HIT 136474734
2020110913:51:50.html 02:06:27 MISS 133804949
2020110913:51:50.html 02:06:27 HIT 122644767
2020110913:51:55.html 02:06:28 MISS 129967226
2020110913:51:55.html 02:06:28 HIT 128871990
2020110913:52:00.html 02:06:28 MISS 164724310
2020110913:52:00.html 02:06:28 HIT 107358579
2020110913:52:05.html 02:06:28 MISS 137772840
2020110913:52:05.html 02:06:28 HIT 170553217
2020110913:52:10.html 02:06:28 MISS 141628724
2020110913:52:10.html 02:06:29 HIT 124614805
2020110913:52:15.html 02:06:29 MISS 485318568
2020110913:52:15.html 02:06:29 HIT 122988361
2020110913:52:20.html 02:06:29 MISS 126257512
